epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.489035,0.89303,3.30971,1.33907,0.00275,0.41667,0.14945,0.10956,1.33415,3.27897,1.36607,0,0,0
2,1.36489,1.01474,3.171,1.39173,0.00442,0.58333,0.13645,0.09773,1.33338,3.27746,1.36805,1.38184e-05,1.38184e-05,1.38184e-05
3,2.03907,0.95244,3.4169,1.14169,0.00436,0.58333,0.16262,0.09681,1.35714,3.27648,1.37546,2.66937e-05,2.66937e-05,2.66937e-05
4,2.82158,1.01814,3.18643,1.37274,0.00441,0.58333,0.1069,0.07553,1.35249,3.26573,1.36611,3.86259e-05,3.86259e-05,3.86259e-05
5,3.74651,0.9793,3.2371,1.45074,0.00447,0.58333,0.11693,0.08826,1.40547,3.2712,1.38745,4.96149e-05,4.96149e-05,4.96149e-05
6,4.74637,0.7159,3.3355,1.10196,0.00463,0.58333,0.13278,0.08525,1.40032,3.27732,1.3929,5.96608e-05,5.96608e-05,5.96608e-05
7,5.7928,1.09781,3.26625,1.5398,0.00476,0.58333,0.10678,0.07644,1.39664,3.26024,1.39756,6.87635e-05,6.87635e-05,6.87635e-05
8,6.68174,0.91528,3.15507,1.43613,0.00485,0.58333,0.23561,0.10398,1.41616,3.27219,1.42396,7.69231e-05,7.69231e-05,7.69231e-05
9,7.67876,0.772,3.09801,1.17056,0.00507,0.58333,0.24725,0.16295,1.36098,3.28299,1.41792,8.41395e-05,8.41395e-05,8.41395e-05
10,8.79215,0.77743,3.03936,1.10268,0.00503,0.58333,0.24767,0.15774,1.36203,3.29199,1.42953,9.04128e-05,9.04128e-05,9.04128e-05
11,9.6765,0.9331,3.07433,1.32814,0.00529,0.58333,0.22784,0.14566,1.39256,3.28878,1.43426,9.5743e-05,9.5743e-05,9.5743e-05
12,10.6852,0.79331,3.17417,1.2363,0.00508,0.58333,0.24055,0.18887,1.34687,3.29105,1.41653,0.00010013,0.00010013,0.00010013
13,11.776,0.96998,3.08287,1.40461,0.00515,0.58333,0.14896,0.09868,1.33608,3.30519,1.41562,0.000103574,0.000103574,0.000103574
14,12.914,0.57307,3.13019,1.1057,0.00519,0.58333,0.17647,0.11218,1.29839,3.30488,1.42067,0.000106075,0.000106075,0.000106075
15,13.8115,0.8545,2.96896,1.27911,0.00517,0.58333,0.14454,0.10868,1.27577,3.32824,1.47099,0.000107632,0.000107632,0.000107632
16,14.7219,0.89097,3.12723,1.18229,0.00529,0.58333,0.14835,0.12434,1.31064,3.34365,1.46858,0.000108247,0.000108247,0.000108247
17,15.6198,0.69043,2.95857,1.13648,0.00545,0.58333,0.15119,0.10597,1.35622,3.36833,1.51201,0.000107918,0.000107918,0.000107918
18,16.5112,0.55888,2.96034,0.97076,0.00545,0.58333,0.15119,0.10597,1.35622,3.36833,1.51201,0.000106646,0.000106646,0.000106646
19,17.4733,0.68324,2.8568,1.00506,0.0054,0.58333,0.15166,0.10639,1.39783,3.38507,1.52518,0.000104431,0.000104431,0.000104431
20,18.3921,0.90423,2.92427,1.13981,0.0054,0.58333,0.15166,0.10639,1.39783,3.38507,1.52518,0.000101273,0.000101273,0.000101273
21,20.0361,0.85765,3.08509,1.27859,0.00545,0.58333,0.15033,0.10285,1.43681,3.38757,1.53508,9.7172e-05,9.7172e-05,9.7172e-05
22,21.1202,0.79788,3.0048,1.18153,0.00545,0.58333,0.15033,0.10285,1.43681,3.38757,1.53508,9.21276e-05,9.21276e-05,9.21276e-05
23,22.0393,0.79086,2.91856,1.15051,0.00563,0.58333,0.24431,0.16928,1.45073,3.39721,1.5663,8.61401e-05,8.61401e-05,8.61401e-05
24,22.9839,0.69178,2.89656,1.00275,0.00563,0.58333,0.24431,0.16928,1.45073,3.39721,1.5663,7.92095e-05,7.92095e-05,7.92095e-05
25,23.9061,0.4732,2.84889,0.8874,0.00563,0.58333,0.14697,0.12689,1.434,3.39674,1.54426,7.13357e-05,7.13357e-05,7.13357e-05
26,24.7979,0.63492,2.79507,1.06147,0.00563,0.58333,0.14697,0.12689,1.434,3.39674,1.54426,6.25187e-05,6.25187e-05,6.25187e-05
27,25.7117,0.72482,2.96796,0.9994,0.0049,0.41667,0.25836,0.16275,1.45128,3.40256,1.5485,5.27587e-05,5.27587e-05,5.27587e-05
28,28.1146,0.47853,2.75813,0.94644,0.0049,0.41667,0.25836,0.16275,1.45128,3.40256,1.5485,4.20555e-05,4.20555e-05,4.20555e-05
29,29.0755,0.60321,2.96122,1.00411,0.00474,0.41667,0.2583,0.15426,1.44679,3.39433,1.57879,3.04091e-05,3.04091e-05,3.04091e-05
30,30.007,0.62376,2.74682,1.04472,0.00474,0.41667,0.2583,0.15426,1.44679,3.39433,1.57879,1.78196e-05,1.78196e-05,1.78196e-05
