date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2023-05-22,13.13,13.42,13.38,13.03,117211.14,0.25,1.9,13.37,13.593,13.928,125406.91,124925.04,156892.77,0.35
2023-05-19,13.2,13.25,13.13,12.99,153192.66,-0.07,-0.53,13.416,13.678,14.049,128859.18,128078.54,160419.3,0.46
2023-05-18,13.59,13.71,13.2,13.15,147922.58,-0.32,-2.37,13.492,13.818,14.209,128159.01,125703.65,160413.47,0.44
2023-05-17,13.58,13.63,13.52,13.37,101815.08,-0.1,-0.73,13.646,13.939,14.368,117927.56,126945.87,168867.84,0.3
2023-05-16,13.62,13.79,13.62,13.57,106893.07,0.01,0.07,13.734,14.006,14.478,117872.84,129021.7,173482.78,0.32
2023-05-15,13.51,13.75,13.61,13.39,134472.5,0.1,0.74,13.816,14.034,14.581,124443.17,129804.32,174212.15,0.4
2023-05-12,14.02,14.02,13.51,13.46,149691.84,-0.46,-3.29,13.94,14.069,14.686,127297.9,129046.61,175519.68,0.45
2023-05-11,14.01,14.07,13.97,13.75,96765.3,0.01,0.07,14.144,14.116,14.817,123248.29,128898.06,174715.83,0.29
2023-05-10,13.97,14.18,13.96,13.84,101541.51,-0.07,-0.5,14.232,14.12,14.913,135964.18,161675.2,177486.54,0.3
2023-05-09,14.24,14.3,14.03,13.91,139744.69,-0.2,-1.41,14.278,14.182,15.019,140170.55,168216.9,177402.08,0.42
2023-05-08,14.66,14.81,14.23,14.15,148746.16,-0.3,-2.06,14.252,14.263,15.112,135165.47,188860.5,176337.51,0.44
2023-05-05,14.36,14.61,14.53,14.25,129443.77,0.12,0.83,14.198,14.419,15.18,130795.32,192760.06,177214.22,0.38
2023-05-04,14.17,14.55,14.41,13.91,160344.75,0.22,1.55,14.088,14.6,15.249,134547.84,195123.3,179456.63,0.48
2023-04-28,13.9,14.21,14.19,13.83,122573.38,0.29,2.09,14.008,14.796,15.329,187386.23,210789.8,185032.28,0.36
2023-04-27,13.86,14.08,13.9,13.72,114719.28,-0.06,-0.43,14.086,14.95,15.394,196263.25,217943.87,189210.47,0.34
2023-04-26,14.0,14.24,13.96,13.82,126895.4,-0.02,-0.14,14.274,15.128,15.474,242555.53,218619.98,191802.99,0.38
2023-04-25,14.22,14.37,13.98,13.88,148206.38,-0.03,-0.21,14.64,15.302,15.569,254724.81,221992.75,198513.83,0.44
2023-04-24,14.58,14.6,14.01,13.63,424536.69,-0.57,-3.91,15.112,15.518,15.653,255698.76,220533.6,200128.23,1.26
2023-04-21,14.92,14.95,14.58,14.55,166958.48,-0.26,-1.75,15.584,15.706,15.746,234193.38,193297.89,185492.07,0.5
2023-04-20,15.72,15.77,14.84,14.63,346180.69,-0.95,-6.02,15.814,15.855,15.805,239624.49,186587.26,184601.73,1.03
2023-04-19,16.31,16.31,15.79,15.73,187741.8,-0.55,-3.37,15.982,15.96,15.845,194684.44,163814.53,175714.92,0.56
2023-04-18,16.4,16.59,16.34,16.2,153076.12,-0.03,-0.18,15.964,15.94,15.851,189260.69,161668.37,171660.76,0.46
2023-04-17,15.65,16.44,16.37,15.65,317009.81,0.64,4.07,15.924,15.898,15.811,185368.44,163789.97,168913.73,0.94
2023-04-14,15.73,16.05,15.73,15.67,194114.02,0.05,0.32,15.828,15.861,15.771,152402.39,159274.75,162410.77,0.58
2023-04-13,15.7,15.85,15.68,15.56,121480.43,-0.02,-0.13,15.896,15.837,15.774,133550.03,160477.07,158484.61,0.36
2023-04-12,16.13,16.18,15.7,15.66,160623.05,-0.44,-2.73,15.938,15.82,15.8,132944.62,164985.99,160127.13,0.48
2023-04-11,15.86,16.2,16.14,15.83,133614.88,0.25,1.57,15.916,15.836,15.804,134076.06,175034.92,158796.02,0.4
2023-04-10,16.1,16.23,15.89,15.68,152179.59,-0.18,-1.12,15.872,15.788,15.805,142211.49,179722.87,158508.79,0.45
2023-04-07,15.91,16.16,16.07,15.81,99852.2,0.18,1.13,15.894,15.786,15.814,166147.11,177686.26,160017.6,0.3
2023-04-06,15.5,15.98,15.89,15.41,118453.37,0.3,1.92,15.778,15.754,15.837,187404.11,182616.2,163194.91,0.35
2023-04-04,15.92,16.0,15.59,15.4,166280.25,-0.33,-2.07,15.702,15.73,15.856,197027.37,187615.32,171096.72,0.49
2023-04-03,16.0,16.22,15.92,15.81,174292.06,-0.08,-0.5,15.756,15.762,15.898,215993.78,181653.16,174086.61,0.52
2023-03-31,15.52,16.36,16.0,15.52,271857.69,0.51,3.29,15.704,15.724,15.947,217234.24,174037.49,177057.33,0.81
2023-03-30,15.51,15.56,15.49,15.11,206137.16,-0.02,-0.13,15.678,15.68,16.008,189225.41,165546.79,168070.91,0.61
